Vorname,Anzahl,Geschlecht
Mary,4,w
Marya,4,w
Maša,4,w
Masal,4,w
Masha,4,w
Masooma,4,w
Matea,4,w
Mateja,4,w
Mathea,4,w
Mathilde,4,w
Matija,4,w
Matilde,4,w
Mattea,4,w
Maty-Ndeye,4,w
Mavi,4,w
Maxi,4,w
Maxie,4,w
Maxima,4,w
Maximilia,4,w
Maxine,4,w
Maya-Christina,4,w
Mayada,4,w
Mayar,4,w
Maylina,4,w
Maylis,4,w
Mayra,4,w
Mayrella,4,w
Mayumi,4,w
Medea,4,w
Meera,4,w
Megan-Rose,4,w
Mehar,4,w
Meher,4,w
Mei,4,w
Melania,4,w
Melanie,4,w
Melek,4,w
Melia,4,w
Meliah,4,w
Melin,4,w
Melinda,4,w
Melis,4,w
Melisa,4,w
Melisha,4,w
Mella,4,w
Melodi,4,w
Melody,4,w
Melonie,4,w
Melorin,4,w
Mena,4,w
Menessa,4,w
